Sentence#,Word,Language
Sentence: 19,batch,Eng
,,
Sentence: 20,gray,Eng
Sentence: 20,and,Eng
Sentence: 20,white,Eng
Sentence: 20,niramulla,Mal
Sentence: 20,poocha,Mal
,,
Sentence: 21,valare,Mal
Sentence: 21,dirty,Eng
Sentence: 21,aayittulla,Mal
Sentence: 21,toilet,Eng
,,
Sentence: 22,decorate,Eng
Sentence: 22,cheytha,Mal
Sentence: 22,stagil,Mix
Sentence: 22,program,Eng
Sentence: 22,nadakkunnu,Mal
,,
Sentence: 23,horse,Eng
Sentence: 23,race,Eng
Sentence: 23,nadakkunna,Mal
Sentence: 23,stadium,Eng
,,
Sentence: 24,car,Eng
Sentence: 24,showroomile,Mix
Sentence: 24,service,Eng
Sentence: 24,centerile,Mix
Sentence: 24,anubhavappedunna,Mal
Sentence: 24,thirakk,Mal
,,
Sentence: 25,oru,Mal
Sentence: 25,railingil,Mix
Sentence: 25,10,Othr
Sentence: 25,manja,Mal
Sentence: 25,cheradu,Mal
,,
Sentence: 26,valiya,Mal
Sentence: 26,2,Othr
Sentence: 26,pad,Eng
Sentence: 26,oven,Eng
Sentence: 26,mitt,Eng
,,
Sentence: 27,White,Eng
Sentence: 27,nirathilulla,Mal
Sentence: 27,schoolnte,Mix
Sentence: 27,wall,Eng
,,
Sentence: 28,doornte,Mix
Sentence: 28,frontile,Mix
Sentence: 28,valiya,Mal
Sentence: 28,wooden,Eng
Sentence: 28,sofa,Eng
,,
Sentence: 29,podiathinu,Mix
Sentence: 29,mukalile,Mal
Sentence: 29,laptop,Eng
,,
Sentence: 30,rampil,Mix
Sentence: 30,ninnum,Mal
Sentence: 30,pokunna,Mal
Sentence: 30,skateboard,Eng
,,
Sentence: 31,vayalil,Mal
Sentence: 31,2,Othr
Sentence: 31,zebra,Eng
Sentence: 31,und,Mal
,,
Sentence: 32,3,Othr
Sentence: 32,different,Eng
Sentence: 32,nirangalil,Mal
Sentence: 32,ulla,Mal
Sentence: 32,suitcase,Eng
,,
Sentence: 33,manja,Mal
Sentence: 33,helmet,Eng
Sentence: 33,dharicha,Mal
Sentence: 33,oraal,Mal
,,
Sentence: 34,buildingnte,Mix
Sentence: 34,aduth,Mal
Sentence: 34,parkil,Mix
Sentence: 34,irikkunna,Mal
Sentence: 34,women,Eng
,,
Sentence: 35,parkile,Mix
Sentence: 35,aarumillatha,Mal
Sentence: 35,bench,Eng
,,
Sentence: 36,stripped,Eng
Sentence: 36,black,Eng
Sentence: 36,suit,Eng
Sentence: 36,dharicha,Mal
Sentence: 36,oru,Mal
Sentence: 36,girl,Eng
,,
Sentence: 37,oru,Mal
Sentence: 37,chest,Eng
Sentence: 37,piecente,Mix
Sentence: 37,part,Eng
,,
Sentence: 38,vimanathinte,Mal
Sentence: 38,body,Eng
Sentence: 38,chuvannathaanu,Mal
,,
Sentence: 39,oru,Mal
Sentence: 39,velutha,Mal
Sentence: 39,computer,Eng
Sentence: 39,keyboard,Eng
,,
Sentence: 40,pashuvinte,Mal
Sentence: 40,mukalil,Mal
Sentence: 40,irikkunna,Mal
Sentence: 40,bird,Eng
,,
Sentence: 41,hotel,Eng
Sentence: 41,muriyude,Mal
Sentence: 41,chuvaril,Mal
Sentence: 41,velicham,Mal
,,
Sentence: 42,roadil,Mix
Sentence: 42,park,Eng
Sentence: 42,cheytha,Mal
Sentence: 42,truck,Eng
,,
Sentence: 43,plastic,Eng
Sentence: 43,toys,Eng
Sentence: 43,aadukalil,Mal
Sentence: 43,oru,Mal
Sentence: 43,aankutti,Mal
,,
Sentence: 44,blue,Eng
Sentence: 44,and,Eng
Sentence: 44,white,Eng
Sentence: 44,niramulla,Mal
Sentence: 44,tennis,Eng
Sentence: 44,racket,Eng
,,
Sentence: 45,ski,Eng
Sentence: 45,trailil,Mix
Sentence: 45,snow,Eng
Sentence: 45,skiing,Eng
Sentence: 45,practice,Eng
Sentence: 45,cheyyunna,Mal
Sentence: 45,women,Eng
,,
Sentence: 46,kunjinte,Mal
Sentence: 46,vaayil,Mal
Sentence: 46,oru,Mal
Sentence: 46,pacifier,Eng
,,
Sentence: 47,kitchenil,Mix
Sentence: 47,saucer,Eng
Sentence: 47,thookkiyirikkunnu,Mal
,,
Sentence: 48,oru,Mal
Sentence: 48,white,Eng
Sentence: 48,and,Eng
Sentence: 48,brown,Eng
Sentence: 48,cat,Eng
Sentence: 48,chairnte,Mix
Sentence: 48,mukalil,Mal
Sentence: 48,irikkunnu,Mal
,,
Sentence: 49,pacha,Mal
Sentence: 49,overhanging,Eng
Sentence: 49,velicham,Mal
,,
Sentence: 50,airloode,Mix
Sentence: 50,fly,Eng
Sentence: 50,cheyyunna,Mal
Sentence: 50,frisbee,Eng
,,
Sentence: 51,oru,Mal
Sentence: 51,zebrayude,Mix
Sentence: 51,purath,Mal
Sentence: 51,chaara,Mal
Sentence: 51,nirathilulla,Mal
Sentence: 51,varakal,Mal
,,
Sentence: 52,Asia,Othr
Sentence: 52,cup,Eng
Sentence: 52,basketball,Eng
Sentence: 52,match,Eng
Sentence: 52,kaanunna,Mal
Sentence: 52,oru,Mal
Sentence: 52,koottam,Mal
Sentence: 52,aalukal,Mal
,,
Sentence: 53,valiya,Mal
Sentence: 53,bowlil,Mix
Sentence: 53,nirachu,Mal
Sentence: 53,vecha,Mal
Sentence: 53,donuts,Eng
,,
Sentence: 54,velutha,Mal
Sentence: 54,tusk,Eng
Sentence: 54,ulla,Mal
Sentence: 54,Elephant,Eng
,,
Sentence: 55,aakaashathile,Mal
Sentence: 55,clouds,Eng
Sentence: 55,ellam,Mal
Sentence: 55,clear,Eng
Sentence: 55,aayi,Mal
,,
Sentence: 56,5,Othr
Sentence: 56,spot,Eng
Sentence: 56,cheytha,Mal
Sentence: 56,black,Eng
Sentence: 56,mark,Eng
,,
Sentence: 57,roadile,Mix
Sentence: 57,Yellow,Eng
Sentence: 57,niramulla,Mal
Sentence: 57,line,Eng
,,
Sentence: 58,roadnte,Mix
Sentence: 58,karuppum,Mal
Sentence: 58,pinne,Mal
Sentence: 58,veluppum,Mal
Sentence: 58,sign,Eng
,,
Sentence: 59,helmetle,Mix
Sentence: 59,front,Eng
Sentence: 59,sidile,Mix
Sentence: 59,American,Othr
Sentence: 59,logo,Eng
,,
Sentence: 60,oru,Mal
Sentence: 60,black,Eng
Sentence: 60,television,Eng
Sentence: 60,screen,Eng
,,
Sentence: 61,frost,Eng
Sentence: 61,cheytha,Mal
Sentence: 61,donut,Eng
,,
Sentence: 62,veettile,Mal
Sentence: 62,white,Eng
Sentence: 62,niramulla,Mal
Sentence: 62,mathil,Mal
,,
Sentence: 63,sthreeyude,Mal
Sentence: 63,mudi,Mal
Sentence: 63,flooril,Mix
Sentence: 63,veenukidakkunnu,Mal
,,
Sentence: 64,John,Othr
Sentence: 64,bicycle,Eng
Sentence: 64,ride,Eng
Sentence: 64,padikkunnu,Mal
,,
Sentence: 65,roast,Eng
Sentence: 65,cheytha,Mal
Sentence: 65,breadnte,Eng
Sentence: 65,edge,Eng
,,
Sentence: 66,road,Eng
Sentence: 66,sidile,Mix
Sentence: 66,marangalude,Mal
Sentence: 66,oru,Mal
Sentence: 66,vari,Mal
,,
Sentence: 67,cheriya,Mal
Sentence: 67,poochakkutti,Mal
Sentence: 67,mother,Eng
Sentence: 67,catnte,Mix
Sentence: 67,koode,Mal
Sentence: 67,kalikkunnu,Mal
,,
Sentence: 68,pencil,Eng
Sentence: 68,ellam,Mal
Sentence: 68,same,Eng
Sentence: 68,color,Eng
Sentence: 68,aanu,Mal
,,
Sentence: 69,buildingnte,Mix
Sentence: 69,mukalil,Mal
Sentence: 69,oraal,Mal
,,
Sentence: 70,raju,Othr
Sentence: 70,dharicha,Mal
Sentence: 70,sweater,Mal
Sentence: 70,neelayaanu,Mal
,,
Sentence: 71,oru,Mal
Sentence: 71,frisbeeye,Mix
Sentence: 71,pidikkunna,Mal
Sentence: 71,young,Eng
Sentence: 71,guy,Eng
,,
Sentence: 72,floorile,Eng
Sentence: 72,boxil,Mix
Sentence: 72,white,Eng
Sentence: 72,iron,Eng
,,
Sentence: 73,ramu,Othr
Sentence: 73,leaning,Eng
Sentence: 73,forward,Eng
,,
Sentence: 74,tan,Eng
Sentence: 74,marathinte,Mal
Sentence: 74,surfboard,Eng
,,
Sentence: 75,sheela,Othr
Sentence: 75,boot,Eng
Sentence: 75,dharichittund,Mal
,,
Sentence: 76,ith,Mal
Sentence: 76,ellam,Mal
Sentence: 76,white,Eng
Sentence: 76,rocks,Eng
Sentence: 76,aanu,Mal
,,
Sentence: 77,dirtil,Mix
Sentence: 77,paint,Eng
Sentence: 77,cheytha,Mal
Sentence: 77,oru,Mal
Sentence: 77,line,Eng
,,
Sentence: 78,Mumbai,Othr
Sentence: 78,townile,Mix
Sentence: 78,empty,Eng
Sentence: 78,theruvinte,Mal
Sentence: 78,view,Eng
,,
Sentence: 79,oru,Mal
Sentence: 79,wet,Eng
Sentence: 79,maram,Mal
Sentence: 79,bench,Eng
,,
Sentence: 80,platile,Mix
Sentence: 80,cut,Eng
Sentence: 80,cheytha,Mal
Sentence: 80,tomatoes,Eng
,,
Sentence: 81,half,Eng
Sentence: 81,muricha,Mal
Sentence: 81,chuvanna,Mal
Sentence: 81,apple,Eng
Sentence: 81,kashnam,Mal
,,
Sentence: 82,zoo,Eng
Sentence: 82,enn,Mal
Sentence: 82,ezhuthiya,Mal
Sentence: 82,direction,Eng
Sentence: 82,board,Eng
,,
Sentence: 83,oru,Mal
Sentence: 83,boarderile,Mix
Sentence: 83,ski,Eng
Sentence: 83,lift,Eng
,,
Sentence: 84,oru,Mal
Sentence: 84,cheriya,Mal
Sentence: 84,baby,Eng
Sentence: 84,zebra,Eng
,,
Sentence: 85,roadil,Mix
Sentence: 85,oru,Mal
Sentence: 85,bicycle,Eng
,,
Sentence: 86,floorile,Mix
Sentence: 86,white,Eng
Sentence: 86,color,Eng
Sentence: 86,tile,Eng
,,
Sentence: 87,ramesh,Othr
Sentence: 87,white,Eng
Sentence: 87,gloves,Eng
Sentence: 87,dharichittund,Mal
,,
Sentence: 88,neelayum,Mal
Sentence: 88,vellayum,Mal
Sentence: 88,niramulla,Mal
Sentence: 88,boat,Eng
,,
Sentence: 89,aalozhinja,Mal
Sentence: 89,hallil,Mix
Sentence: 89,baby,Eng
Sentence: 89,karayunnu,Mal
,,
Sentence: 90,sunglass,Eng
Sentence: 90,dharicha,Mal
Sentence: 90,Asian,Othr
Sentence: 90,purushan,Mal
,,
Sentence: 91,Delhi,Othr
Sentence: 91,zoo,Eng
Sentence: 91,parkil,Mix
Sentence: 91,16,Othr
Sentence: 91,giraffekal,Mix
,,
Sentence: 92,American,Othr
Sentence: 92,flag,Eng
Sentence: 92,kettidathinte,Mal
Sentence: 92,vashath,Mal
Sentence: 92,thookkiyirikkunnu,Mal
,,
Sentence: 93,wedding,Eng
Sentence: 93,anniversarykk,Mix
Sentence: 93,cake,Eng
Sentence: 93,murikkunna,Mal
Sentence: 93,dhambathikal,Mal
,,
Sentence: 94,oru,Mal
Sentence: 94,sthree,Mal
Sentence: 94,public,Eng
Sentence: 94,benchil,Mix
Sentence: 94,irikkunnu,Mal
,,
Sentence: 95,oru,Mal
Sentence: 95,koottam,Mal
Sentence: 95,metal,Eng
Sentence: 95,frame,Eng
Sentence: 95,cheytha,Mal
Sentence: 95,handles,Eng
,,
Sentence: 96,vellathil,Mal
Sentence: 96,dark,Eng
Sentence: 96,spot,Eng
,,
Sentence: 97,randu,Mal
Sentence: 97,black,Eng
Sentence: 97,nirathilulla,Mal
Sentence: 97,traffic,Eng
Sentence: 97,lightukal,Mix
,,
Sentence: 98,2,Othr
Sentence: 98,birds,Eng
Sentence: 98,parasparam,Mal
Sentence: 98,samsaarikkunnu,Mal
,,
Sentence: 99,football,Eng
Sentence: 99,game,Eng
Sentence: 99,competitionte,Mix
Sentence: 99,fixture,Eng
Sentence: 99,nokunna,Mal
Sentence: 99,player,Eng
,,
Sentence: 100,wedding,Eng
Sentence: 100,cakente,Mix
Sentence: 100,mukalile,Mal
Sentence: 100,design,Eng
,,
Sentence: 101,railway,Eng
Sentence: 101,stationile,Mix
Sentence: 101,shopil,Mix
Sentence: 101,nilkunna,Mal
Sentence: 101,sthree,Mal
,,
Sentence: 102,small,Eng
Sentence: 102,motorboatil,Eng
Sentence: 102,yathra,Mal
Sentence: 102,cheyyunna,Mal
Sentence: 102,aalukal,Mal
,,
Sentence: 103,oru,Mal
Sentence: 103,cheriya,Mal
Sentence: 103,karutha,Mal
Sentence: 103,cell,Eng
Sentence: 103,phone,Eng
,,
Sentence: 104,seekaranamuriyil,Mal
Sentence: 104,wait,Eng
Sentence: 104,cheyyunna,Mal
Sentence: 104,11,Othr
Sentence: 104,aalukal,Mal
,,
Sentence: 105,short,Eng
Sentence: 105,hair,Eng
Sentence: 105,ulla,Mal
Sentence: 105,oru,Mal
Sentence: 105,young,Eng
Sentence: 105,boy,Eng
Sentence: 105,book,Eng
Sentence: 105,vaayikkunnu,Mal
,,
Sentence: 106,streetl,Mix
Sentence: 106,park,Eng
Sentence: 106,cheytha,Mal
Sentence: 106,velutha,Mal
Sentence: 106,ambulance,Eng
,,
Sentence: 107,groundil,Mix
Sentence: 107,practice,Eng
Sentence: 109,cheyyunna,Mal
Sentence: 107,tennis,Eng
Sentence: 107,player,Eng
,,
Sentence: 108,vayalil,Mal
Sentence: 108,nilkunna,Mal
Sentence: 108,black,Eng
Sentence: 108,sheep,Eng
,,
Sentence: 109,thalayil,Mal
Sentence: 109,white,Eng
Sentence: 109,hat,Eng
Sentence: 109,dharicha,Mal
Sentence: 109,American,Othr
Sentence: 109,president,Eng
,,
Sentence: 110,moundile,Mix
Sentence: 110,red,Eng
Sentence: 110,coloril,Mix
Sentence: 110,catcher,Eng
,,
Sentence: 111,red,Eng
Sentence: 111,scarf,Eng
Sentence: 111,dharicha,Mal
Sentence: 111,manushyante,Mal
Sentence: 111,eye,Eng
,,
Sentence: 112,oru,Mal
Sentence: 112,computeril,Mix
Sentence: 112,connect,Eng
Sentence: 112,cheytha,Mal
Sentence: 112,keyboard,Eng
,,
Sentence: 113,ithoru,Mal
Sentence: 113,valiya,Mal
Sentence: 113,fox,Eng
Sentence: 113,aanu,Mal
,,
Sentence: 114,bikente,Eng
Sentence: 114,thazhe,Mal
Sentence: 114,kidakkunna,Mal
Sentence: 114,gray,Eng
Sentence: 114,tabby,Eng
Sentence: 114,cat,Eng
,,
Sentence: 115,pink,Eng
Sentence: 115,nirathilulla,Mal
Sentence: 115,oru,Mal
Sentence: 115,jodi,Mal
Sentence: 115,pants,Eng
,,
Sentence: 116,banana,Eng
Sentence: 116,fruit,Eng
Sentence: 116,kazhikkunna,Mal
Sentence: 116,dog,Eng
,,
Sentence: 117,blue,Eng
Sentence: 117,coloril,Mix
Sentence: 117,ulla,Mal
Sentence: 117,Luggage,Eng
Sentence: 117,cart,Eng
,,
Sentence: 118,train,Eng
Sentence: 118,gray,Eng
Sentence: 118,niram,Mal
Sentence: 118,aanu,Mal
,,
Sentence: 119,ball,Eng
Sentence: 119,kick,Eng
Sentence: 119,cheyyan,Mal
Sentence: 119,orungunna,Mal
Sentence: 119,boy,Eng
,,
Sentence: 120,velutha,Mal
Sentence: 120,nirathilulla,Mal
Sentence: 120,blender,Eng
,,
Sentence: 121,shopping,Eng
Sentence: 121,mallile,Mix
Sentence: 121,elevator,Eng
Sentence: 121,ladder,Eng
,,
Sentence: 122,orange,Eng
Sentence: 122,and,Eng
Sentence: 122,white,Eng
Sentence: 122,niramulla,Mal
Sentence: 122,pookkal,Mal
,,
Sentence: 123,oru,Mal
Sentence: 123,motorcyclente,Mix
Sentence: 123,aduth,Mal
Sentence: 123,park,Eng
Sentence: 123,cheytha,Mal
Sentence: 123,mattoru,Mal
Sentence: 123,motorcycle,Eng
,,
Sentence: 124,oru,Mal
Sentence: 124,horsente,Mix
Sentence: 124,backil,Mix
Sentence: 124,jockey,Eng
,,
Sentence: 125,oru,Mal
Sentence: 125,Australian,Othr
Sentence: 125,druvakkaradi,Mal
,,
Sentence: 126,wii,Eng
Sentence: 126,kalikkunna,Mal
Sentence: 126,young,Eng
Sentence: 126,girl,Eng
,,
Sentence: 127,silver,Eng
Sentence: 127,color,Eng
Sentence: 127,potil,Mix
Sentence: 127,moonnu,Mal
Sentence: 127,chedikal,Mal
,,
Sentence: 128,Brazil,Othr
Sentence: 128,enn,Mal
Sentence: 128,ezhuthiya,Mal
Sentence: 128,banner,Eng
,,
Sentence: 129,catne,Mix
Sentence: 129,hold,Eng
Sentence: 129,cheyyunna,Mal
Sentence: 129,woman,Eng
,,
Sentence: 130,tennis,Eng
Sentence: 130,courtukal,Mix
Sentence: 130,verthirikkunna,Mal
Sentence: 130,oru,Mal
Sentence: 130,net,Eng
,,
Sentence: 131,thavitt,Mal
Sentence: 131,nirathil,Mal
Sentence: 131,ulla,Mal
Sentence: 131,dog,Eng
Sentence: 131,manushyante,Mal
Sentence: 131,madiyil,Mal
Sentence: 131,irikkunnu,Mal
,,
Sentence: 132,oru,Mal
Sentence: 132,police,Eng
Sentence: 132,office,Eng
Sentence: 132,beltile,Mix
Sentence: 132,walkie,Eng
Sentence: 132,talkie,Eng
,,
Sentence: 133,Anil,Othr
Sentence: 133,ball,Eng
Sentence: 133,thattaan,Mal
Sentence: 133,readyaanu,Mix
,,
Sentence: 134,dog,Eng
Sentence: 134,food,Eng
Sentence: 134,kazhikkunnu,Mal
,,
,,
Sentence: 135,cubil,Mix
Sentence: 135,oru,Mal
Sentence: 135,kitten,Eng
,,
Sentence: 136,white,Eng
Sentence: 136,washer,Eng
Sentence: 136,oru,Mal
Sentence: 136,counterinu,Mix
Sentence: 136,keezhilanu,Mal
,,
Sentence: 137,oru,Mal
Sentence: 137,glassil,Mix
Sentence: 137,ozhichuvecha,Mal
Sentence: 137,beer,Eng
,,
Sentence: 138,hyderabad,Othr
Sentence: 138,zoo,Eng
Sentence: 138,park,Eng
Sentence: 138,areayil,Mix
Sentence: 138,purathulla,Mal
Sentence: 138,statue,Eng
,,
Sentence: 139,velutha,Mal
Sentence: 139,ribbon,Eng
Sentence: 139,vaal,Mal
Sentence: 139,thoovalukal,Mal
,,
Sentence: 140,Delhi,Othr
Sentence: 140,University,Eng
Sentence: 140,campusil,Mix
Sentence: 140,lightukal,Mix
Sentence: 140,on,Eng
Sentence: 140,aanu,Mal
,,
Sentence: 141,bengaluru,Othr
Sentence: 141,townile,Mix
Sentence: 141,orange,Eng
Sentence: 141,clipboard,Eng
,,
Sentence: 142,oru,Mal
Sentence: 142,public,Eng
Sentence: 142,kulimuriyil,Mal
Sentence: 142,moonu,Mal
Sentence: 142,vella,Mal
Sentence: 142,sinkukal,Mix
,,
Sentence: 143,oru,Mal
Sentence: 143,tablente,Mix
Sentence: 143,mukalil,Mal
Sentence: 143,urangunna,Mal
Sentence: 143,cat,Eng
,,
Sentence: 144,oru,Mal
Sentence: 144,velutha,Mal
Sentence: 144,fiber,Eng
Sentence: 144,paathrathil,Mal
Sentence: 144,3,Othr
Sentence: 144,naarangakal,Mal
,,
Sentence: 145,tablente,Mix
Sentence: 145,mukalil,Mal
Sentence: 145,on,Eng
Sentence: 145,cheytha,Mal
Sentence: 145,lamp,Eng
,,
Sentence: 146,chuvaril,Mal
Sentence: 146,mount,Eng
Sentence: 146,cheytha,Mal
Sentence: 146,television,Eng
Sentence: 146,screen,Eng
,,
Sentence: 147,universityude,Mix
Sentence: 147,backile,Mix
Sentence: 147,idavazhiyiloode,Mal
Sentence: 147,oraal,Mal
Sentence: 147,nadakkunnu,Mal
,,
Sentence: 148,red,Eng
Sentence: 148,shirt,Eng
Sentence: 148,dharicha,Mal
Sentence: 148,oru,Mal
Sentence: 148,Bangladesh,Othr
Sentence: 148,sthree,Mal
,,
Sentence: 149,college,Eng
Sentence: 149,groundnte,Mix
Sentence: 149,sidil,Mix
Sentence: 149,kidakkunna,Mal
Sentence: 149,aadukal,Mal
,,
Sentence: 150,Amity,Othr
Sentence: 150,University,Eng
Sentence: 150,compoundil,Mix
Sentence: 150,nadakkunna,Mal
Sentence: 150,baseball,Eng
Sentence: 150,tournament,Eng
,,
Sentence: 151,oru,Mal
Sentence: 151,white,Eng
Sentence: 151,puppy,Eng
,,
Sentence: 152,left,Eng
Sentence: 152,sidile,Mix
Sentence: 152,white,Eng
Sentence: 152,door,Eng
,,
Sentence: 153,fieldil,Mix
Sentence: 153,kidakkunna,Mal
Sentence: 153,horse,Eng
,,
Sentence: 154,mountain,Eng
Sentence: 154,mukalile,Mal
Sentence: 154,Building,Eng
,,
Sentence: 155,bike,Eng
Sentence: 155,povaanum,Mal
Sentence: 155,kaalnada,Mal
Sentence: 155,yaathrakkarkk,Mal
Sentence: 155,nadakkanumulla,Mal
Sentence: 155,traffic,Eng
Sentence: 155,sign,Eng
,,
Sentence: 156,oru,Mal
Sentence: 156,happy,Eng
Sentence: 156,giraffente,Mix
Sentence: 156,face,Eng
,,
Sentence: 157,waternte,Mix
Sentence: 157,visible,Eng
Sentence: 157,splash,Eng
,,
Sentence: 158,beachnte,Mix
Sentence: 158,theerath,Mal
Sentence: 158,akaleyulla,Mal
Sentence: 158,niravadhi,Mal
Sentence: 158,kites,Eng
,,
Sentence: 159,oru,Mal
Sentence: 159,koottil,Mal
Sentence: 159,2,Othr
Sentence: 159,animals,Eng
,,
Sentence: 160,oru,Mal
Sentence: 160,valiya,Mal
Sentence: 160,bus,Eng
Sentence: 160,roadnte,Mix
Sentence: 160,sidil,Mix
Sentence: 160,und,Mal
,,
Sentence: 161,oru,Mal
Sentence: 161,plane,Eng
Sentence: 161,land,Eng
Sentence: 161,cheyyunnu,Mal
,,
Sentence: 162,vellathil,Mal
Sentence: 162,nilkunna,Mal
Sentence: 162,oru,Mal
Sentence: 162,bull,Eng
,,
Sentence: 163,vellathile,Mal
Sentence: 163,vellayum,Mal
Sentence: 163,neelayum,Mal
Sentence: 163,nirathil,Mal
Sentence: 163,ulla,Mal
Sentence: 163,boat,Eng
,,
Sentence: 164,Agra,Othr
Sentence: 164,fortil,Mix
Sentence: 164,windowyil,Mix
Sentence: 164,karutha,Mal
Sentence: 164,bear,Eng
,,
Sentence: 165,valare,Mal
Sentence: 165,manoharamaya,Mal
Sentence: 165,Kolkata,Othr
Sentence: 165,towninte,Mix
Sentence: 165,image,Eng
,,
Sentence: 166,photoyil,Mix
Sentence: 166,kaanunnath,Mal
Sentence: 166,Belgium,Othr
Sentence: 166,kadaltheeram,Mal
Sentence: 166,aanu,Mal
,,
Sentence: 167,basketball,Eng
Sentence: 167,game,Eng
Sentence: 167,kaanunna,Mal
Sentence: 167,Indonesian,Othr
Sentence: 167,people,Eng
,,
Sentence: 168,naayayumaayi,Mal
Sentence: 168,nadakkunna,Mal
Sentence: 168,Russian,Othr
Sentence: 168,women,Eng
,,
Sentence: 169,manushyante,Mal
Sentence: 169,thalayil,Mal
Sentence: 169,Japan,Othr
Sentence: 169,thoppi,Mal
,,
Sentence: 170,gray,Eng
Sentence: 170,coloril,Mix
Sentence: 170,ulla,Mal
Sentence: 170,urunda,Mal
Sentence: 170,kallukal,Mal
,,
Sentence: 171,mukalil,Mal
Sentence: 171,kaanunna,Mal
Sentence: 171,sign,Eng
Sentence: 171,chuvappanu,Mal
,,
Sentence: 172,velutha,Mal
Sentence: 172,coloril,Mix
Sentence: 172,ulla,Mal
Sentence: 172,building,Eng
,,
Sentence: 173,2,Othr
Sentence: 173,blue,Eng
Sentence: 173,and,Eng
Sentence: 173,silver,Eng
Sentence: 173,miramulla,Mal
Sentence: 173,trainukal,Mix
,,
Sentence: 174,IT,Othr
Sentence: 174,companyil,Mix
Sentence: 174,joli,Mal
Sentence: 174,cheyyunna,Mal
Sentence: 174,girl,Eng
,,
Sentence: 175,mens,Eng
Sentence: 175,football,Eng
Sentence: 175,team,Eng
Sentence: 175,bus,Eng
Sentence: 175,wait,Eng
Sentence: 175,cheyyunnu,Mal
,,
Sentence: 176,oru,Mal
Sentence: 176,kayyil,Mal
Sentence: 176,racket,Eng
Sentence: 176,pidicha,Mal
Sentence: 176,France,Othr
Sentence: 176,tennis,Eng
Sentence: 176,player,Eng
,,
Sentence: 177,white,Eng
Sentence: 177,lid,Eng
Sentence: 177,ulla,Mal
Sentence: 177,plastic,Eng
Sentence: 177,water,Eng
Sentence: 177,bottle,Eng
,,
Sentence: 178,orange,Eng
Sentence: 178,white,Eng
Sentence: 178,nirangalil,Mal
Sentence: 178,ulla,Mal
Sentence: 178,tourist,Eng
Sentence: 178,bus,Eng
,,
Sentence: 179,oru,Mal
Sentence: 179,large,Eng
Sentence: 179,pepperoni,Eng
Sentence: 179,pizzayude,Mix
Sentence: 179,box,Eng
,,
Sentence: 180,oru,Mal
Sentence: 180,benchil,Mix
